,measure,language,uni_lemma,definition,prop,order,frequency,phones,category,lexical_category,syllables
321,produces,English,sweater,sweater,0.01365894,320.5,0.070816676,5,clothing,nouns,swE t@r
322,produces,English,swim,swim,0.01365894,320.5,0.077098801,4,action_words,predicates,swIm
323,produces,English,hit,hit,0.013245033,324.5,0.301541976,3,action_words,predicates,hIt
324,produces,English,inside,inside,0.013245033,324.5,0.378640777,5,locations,function_words,in 'said
325,produces,English,people,people,0.013245033,324.5,0.611079383,4,people,other,pi p@l
326,produces,English,snow,snow,0.013245033,324.5,0.09994289,3,outside,nouns,snoU
327,produces,English,pull,pull,0.012831126,327,0.580239863,3,action_words,predicates,pUl
328,produces,English,backyard,backyard,0.012003311,328,0.016561965,6,outside,nouns,"b& ,kjard"
329,produces,English,break,break,0.011589404,330.5,0.285551114,4,action_words,predicates,breIk
330,produces,English,say,say,0.011589404,330.5,3.958309537,2,action_words,predicates,seI
331,produces,English,sink,sink,0.011589404,330.5,0.0513992,4,furniture_rooms,nouns,sINk
332,produces,English,zoo,zoo,0.011589404,330.5,0.173615077,2,outside,nouns,zu
333,produces,English,careful,careful,0.011175497,334,0.564249001,5,descriptive_words,predicates,kEr f@l
334,produces,English,drive,drive,0.011175497,334,0.15134209,4,action_words,predicates,draIv
335,produces,English,wipe,wipe,0.011175497,334,0.207881211,3,action_words,predicates,waIp
336,produces,English,bedroom,bedroom,0.010761589,337.5,0.000571102,6,furniture_rooms,nouns,"bE ,drum"
337,produces,English,church,church*,0.010761589,337.5,0.037121645,5,outside,nouns,tS3rtS
338,produces,English,lady,lady,0.010761589,337.5,0.269560251,4,people,other,leI di
339,produces,English,not,not,0.010761589,337.5,4.483723587,3,quantifiers,function_words,nAt
340,produces,English,penny,penny,0.010347682,340,0.03597944,4,household,nouns,pE ni
341,produces,English,dry (description),dry (description),0.009933775,342,0.189605939,3,descriptive_words,predicates,draI
342,produces,English,oven,oven,0.009933775,342,0.061679041,3,furniture_rooms,nouns,U v@n
343,produces,English,radio,radio,0.009933775,342,0.067390063,5,household,nouns,"reI di ,oU"
344,produces,English,away,away,0.00910596,346.5,1.062821245,3,locations,function_words,@ 'weI
345,produces,English,fast,fast,0.00910596,346.5,0.206739006,4,descriptive_words,predicates,f&st
346,produces,English,give,give,0.00910596,346.5,1.44603084,3,action_words,predicates,gIv
347,produces,English,hurry,hurry,0.00910596,346.5,0.098229583,4,action_words,predicates,h3 ri
348,produces,English,lamp,lamp,0.00910596,346.5,0.025128498,4,household,nouns,l&mp
349,produces,English,refrigerator,refrigerator,0.00910596,346.5,0.102798401,11,furniture_rooms,nouns,"r@ 'frI dZ@ ,reI t@r"
350,produces,English,draw,draw,0.008692053,352,0.47173044,3,action_words,predicates,drO
351,produces,English,drawer,drawer,0.008692053,352,0.077669903,4,furniture_rooms,nouns,drOr
352,produces,English,none,none,0.008692053,352,0.045688178,3,quantifiers,function_words,nVn
353,produces,English,stove,stove,0.008692053,352,0.073672187,4,furniture_rooms,nouns,stOUv
354,produces,English,why,why,0.008692053,352,2.259851513,2,question_words,function_words,waI
355,produces,English,garage,garage,0.008278146,355.5,0.103940605,4,furniture_rooms,nouns,g@ 'rAZ
356,produces,English,little (description),little (description),0.008278146,355.5,4.35122787,4,descriptive_words,predicates,lI t@l
357,produces,English,bring,bring,0.007864238,357.5,0.600228441,4,action_words,predicates,brIN
358,produces,English,finish,finish,0.007864238,357.5,0.300970874,5,action_words,predicates,fI nIS
359,produces,English,jeans,jeans,0.007450331,359.5,0.007995431,4,clothing,nouns,dZinz
360,produces,English,penguin,penguin,0.007450331,359.5,0.026841805,7,animals,nouns,peN gw@n
361,produces,English,smile,smile,0.007036424,361,0.063392347,4,action_words,predicates,smaIl
362,produces,English,child,child,0.006622517,363,0.041690463,5,people,other,tSaIld
363,produces,English,play pen,play pen,0.006622517,363,NA,NA,furniture_rooms,nouns,pleI pEn
364,produces,English,write,write,0.006622517,363,0.318103941,3,action_words,predicates,raIt
365,produces,English,morning,morning,0.006208609,365,0.381496288,5,time_words,other,mOr niN
366,produces,English,feed,feed,0.005794702,368,0.190748144,3,action_words,predicates,fid
367,produces,English,later,later,0.005794702,368,0.304968589,4,time_words,other,leI t@r
368,produces,English,put,put,0.005794702,368,7.66933181,3,action_words,predicates,pUt
369,produces,English,sick,sick,0.005794702,368,0.102798401,3,descriptive_words,predicates,sIk
370,produces,English,your,your,0.005794702,368,12.02798401,2,pronouns,function_words,jU@r
371,produces,English,another,another,0.005380795,371.5,1.279840091,5,quantifiers,function_words,@ 'nV D@r
372,produces,English,scissors,scissors,0.005380795,371.5,0.062250143,5,household,nouns,sI z3rz
373,produces,English,party,party,0.004966887,373.5,0.178754997,4,outside,nouns,par ti
374,produces,English,teacher,teacher,0.004966887,373.5,0.054254712,5,people,other,ti tS@r
375,produces,English,day,day,0.00455298,376.5,0.495145631,2,time_words,other,deI
376,produces,English,fine,fine,0.00455298,376.5,0.143346659,3,descriptive_words,predicates,faIn
377,produces,English,hard,hard,0.00455298,376.5,0.508852085,3,descriptive_words,predicates,hArd
378,produces,English,under,under,0.00455298,376.5,0.39234723,4,locations,function_words,Un d@r
379,produces,English,garden,garden,0.004139073,380,0.062250143,4,outside,nouns,gAr d@n
380,produces,English,living room,living room,0.004139073,380,0.001142204,8,furniture_rooms,nouns,lI vIN rum
381,produces,English,naughty,naughty,0.004139073,380,0.04625928,4,descriptive_words,predicates,nO ti
382,produces,English,babysitter,babysitter,0.003725166,383.5,0.000571102,8,people,other,"beI bI ,sI t@r"
383,produces,English,how,how,0.003725166,383.5,3.184466019,2,question_words,function_words,haU
384,produces,English,other,other,0.003725166,383.5,1.424328955,3,quantifiers,function_words,U D@r
385,produces,English,show,show,0.003725166,383.5,0.821245003,2,action_words,predicates,SoU
386,produces,English,person,person,0.003311258,387,0.095374072,4,people,other,p3r s@n
387,produces,English,take,take,0.003311258,387,2.439748715,3,action_words,predicates,teIk
388,produces,English,tonight,tonight,0.003311258,387,0.183323815,5,time_words,other,t@ 'nait
389,produces,English,scared,scared,0.002897351,389,0.080525414,4,descriptive_words,predicates,skErd
390,produces,English,her,her,0.002483444,392,2.598515134,2,pronouns,function_words,h3r
391,produces,English,his,his,0.002483444,392,2.4614506,3,pronouns,function_words,hIz
392,produces,English,same,same,0.002483444,392,0.243289549,3,quantifiers,function_words,seIm
393,produces,English,today,today,0.002483444,392,0.822387207,4,time_words,other,t@ 'deI
394,produces,English,tomorrow,tomorrow,0.002483444,392,0.19474586,6,time_words,other,"t@ 'mA ,roU"
395,produces,English,old,old,0.002069536,395,0.378640777,3,descriptive_words,predicates,oUld
396,produces,English,when,when,0.001241722,396,1.78983438,3,question_words,function_words,wEn
